Subject_ID,Actual_hours,Actual_cat,Majority_vote,Correct,N_tasks,Votes_Short,Votes_Normal,Votes_Long,Pred_gyrus_coord,Pred_gyrus_left_closed_eyes,Pred_gyrus_right_closed_eyes,Pred_prefrontal1,Pred_prefrontal2
BA64,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA65,8.0,Long,Normal,False,5,0,4,1,Normal,Long,Normal,Normal,Normal
BA66,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA68,6.0,Short,Normal,False,5,2,3,0,Normal,Normal,Short,Normal,Short
BA69,6.0,Short,Normal,False,5,2,3,0,Normal,Normal,Normal,Short,Short
BA70,5.0,Short,Normal,False,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA71,7.0,Normal,Normal,True,5,1,4,0,Short,Normal,Normal,Normal,Normal
BA72,8.0,Long,Long,True,5,0,0,5,Long,Long,Long,Long,Long
BA73,6.0,Short,Normal,False,5,2,3,0,Normal,Normal,Normal,Short,Short
BA74,7.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA75,7.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA76,6.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA77,6.0,Short,Normal,False,5,2,3,0,Short,Normal,Short,Normal,Normal
BA78,7.0,Normal,Short,False,5,4,1,0,Short,Short,Short,Normal,Short
BA79,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA80,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA81,6.0,Short,Short,True,5,3,2,0,Normal,Short,Short,Short,Normal
BA82,8.0,Long,Normal,False,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA83,5.0,Short,Short,True,5,4,1,0,Normal,Short,Short,Short,Short
BA84,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA85,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA86,6.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA87,6.0,Short,Short,True,5,4,1,0,Short,Short,Normal,Short,Short
BA89,8.0,Long,Normal,False,5,0,3,2,Long,Normal,Long,Normal,Normal
BA90,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
